event_id,event_timestamp,site_id,line_id,machine_id,machine_type,operating_mode,load_pct,ambient_temp_c,spindle_temp_c,vibration_mm_s,pressure_bar,power_kw,throughput_units,defects_per_hour,downtime_minutes,maintenance_flag,quality_grade
EVT_MCH_001_2025030100,2025-03-01 00:00:00,Site_A,L1,MCH_001,CNC,AUTO,54.69,19.11,59.03,2.238,6.546,41.191,87.81,1,12.01,0,B
EVT_MCH_001_2025030101,2025-03-01 01:00:00,Site_A,L1,MCH_001,CNC,AUTO,54.55,23.42,55.38,1.967,6.606,46.476,83.37,0,6.07,0,A
EVT_MCH_001_2025030102,2025-03-01 02:00:00,Site_A,L1,MCH_001,CNC,AUTO,57.15,25.82,61.62,2.243,6.403,39.661,89.45,0,0.96,0,A
EVT_MCH_001_2025030103,2025-03-01 03:00:00,Site_A,L1,MCH_001,CNC,AUTO,49.09,23.89,53.69,,5.097,40.589,68.96,0,5.16,0,A
EVT_MCH_001_2025030104,2025-03-01 04:00:00,Site_A,L1,MCH_001,CNC,AUTO,68.2,29.55,68.83,3.017,6.876,52.854,80.56,2,9.33,0,B
EVT_MCH_001_2025030105,2025-03-01 05:00:00,Site_A,L1,MCH_001,CNC,CALIBRATION,36.02,26.65,42.14,2.514,6.68,41.076,57.27,1,5.81,0,B
EVT_MCH_001_2025030106,2025-03-01 06:00:00,Site_A,L1,MCH_001,CNC,AUTO,57.49,24.05,51.91,2.339,5.663,48.619,75.04,1,2.73,0,B
EVT_MCH_001_2025030107,2025-03-01 07:00:00,Site_A,L1,MCH_001,CNC,AUTO,69.61,25.29,60.29,2.504,5.904,51.044,85.37,0,5.73,0,A
EVT_MCH_001_2025030108,2025-03-01 08:00:00,Site_A,L1,MCH_001,CNC,MANUAL,54.29,25.8,55.47,2.347,5.876,42.508,58.47,0,0.8,0,A
EVT_MCH_001_2025030109,2025-03-01 09:00:00,Site_A,L1,MCH_001,CNC,AUTO,25.65,24.53,45.91,1.675,5.588,25.57,31.12,0,1.59,0,A
EVT_MCH_001_2025030110,2025-03-01 10:00:00,Site_A,L1,MCH_001,CNC,AUTO,67.58,22.26,59.96,2.681,5.987,49.469,104.18,0,4.66,0,A
EVT_MCH_001_2025030111,2025-03-01 11:00:00,Site_A,L1,MCH_001,CNC,MANUAL,30.41,19.35,34.84,1.41,6.803,35.062,39.98,1,2.03,0,B
EVT_MCH_001_2025030112,2025-03-01 12:00:00,Site_A,L1,MCH_001,CNC,AUTO,53.6,16.72,48.21,2.395,5.995,36.436,79.57,0,15.18,0,A
EVT_MCH_001_2025030113,2025-03-01 13:00:00,Site_A,L1,MCH_001,CNC,AUTO,37.0,14.98,34.48,1.979,6.979,36.225,62.02,2,2.11,0,B
EVT_MCH_001_2025030114,2025-03-01 14:00:00,Site_A,L1,MCH_001,CNC,MANUAL,36.87,17.99,42.67,1.817,6.197,33.773,26.25,1,4.13,0,B
EVT_MCH_001_2025030115,2025-03-01 15:00:00,Site_A,L1,MCH_001,CNC,AUTO,66.72,15.17,49.78,2.752,5.808,42.939,101.65,0,6.57,0,A
EVT_MCH_001_2025030116,2025-03-01 16:00:00,Site_A,L1,MCH_001,CNC,AUTO,63.42,13.6,52.47,2.418,6.356,51.977,94.01,0,2.7,0,A
EVT_MCH_001_2025030117,2025-03-01 17:00:00,Site_A,L1,MCH_001,CNC,AUTO,54.33,12.29,35.96,2.465,5.702,41.866,91.86,0,10.22,0,A
EVT_MCH_001_2025030118,2025-03-01 18:00:00,Site_A,L1,MCH_001,CNC,AUTO,62.39,13.88,46.75,2.485,6.148,47.444,101.82,1,17.06,0,B
EVT_MCH_001_2025030119,2025-03-01 19:00:00,Site_A,L1,MCH_001,CNC,AUTO,63.54,10.84,45.29,,6.68,42.755,94.08,1,10.31,0,B
EVT_MCH_001_2025030120,2025-03-01 20:00:00,Site_A,L1,MCH_001,CNC,MANUAL,40.19,12.86,37.84,1.548,5.263,37.19,24.19,2,5.22,0,B
EVT_MCH_001_2025030121,2025-03-01 21:00:00,Site_A,L1,MCH_001,CNC,AUTO,54.88,15.97,48.27,2.264,6.492,32.989,85.26,1,6.73,0,B
EVT_MCH_001_2025030122,2025-03-01 22:00:00,Site_A,L1,MCH_001,CNC,AUTO,54.08,19.41,54.22,2.343,5.034,42.892,79.24,0,11.61,0,A
EVT_MCH_001_2025030123,2025-03-01 23:00:00,Site_A,L1,MCH_001,CNC,AUTO,49.3,14.65,39.81,2.137,5.913,42.154,73.24,1,2.93,0,B
EVT_MCH_001_2025030200,2025-03-02 00:00:00,Site_A,L1,MCH_001,CNC,AUTO,57.73,20.97,52.23,2.219,5.227,43.653,86.22,0,4.18,0,A
EVT_MCH_001_2025030201,2025-03-02 01:00:00,Site_A,L1,MCH_001,CNC,AUTO,52.81,17.91,47.93,,5.223,40.587,59.83,1,3.25,0,B
EVT_MCH_001_2025030202,2025-03-02 02:00:00,Site_A,L1,MCH_001,CNC,AUTO,67.95,20.64,56.59,2.621,6.362,44.381,97.98,2,9.27,0,B
EVT_MCH_001_2025030203,2025-03-02 03:00:00,Site_A,L1,MCH_001,CNC,AUTO,38.03,23.97,48.09,1.698,6.163,40.385,47.0,0,0.31,0,A
EVT_MCH_001_2025030204,2025-03-02 04:00:00,Site_A,L1,MCH_001,CNC,AUTO,57.13,23.7,57.36,2.26,6.903,42.27,88.9,1,13.61,0,B
EVT_MCH_001_2025030205,2025-03-02 05:00:00,Site_A,L1,MCH_001,CNC,MANUAL,36.42,25.59,47.82,1.698,4.76,36.085,34.88,1,1.61,0,B
EVT_MCH_001_2025030206,2025-03-02 06:00:00,Site_A,L1,MCH_001,CNC,AUTO,46.15,24.0,51.5,1.66,6.554,36.473,63.54,0,4.48,0,A
EVT_MCH_001_2025030207,2025-03-02 07:00:00,Site_A,L1,MCH_001,CNC,MANUAL,35.09,24.28,47.21,2.008,5.654,31.199,22.3,2,4.27,0,B
EVT_MCH_001_2025030208,2025-03-02 08:00:00,Site_A,L1,MCH_001,CNC,AUTO,42.55,24.3,51.95,2.03,5.706,37.664,54.81,0,5.33,0,A
EVT_MCH_001_2025030209,2025-03-02 09:00:00,Site_A,L1,MCH_001,CNC,AUTO,39.28,17.82,43.7,1.752,5.939,33.309,,0,12.15,0,A
EVT_MCH_001_2025030210,2025-03-02 10:00:00,Site_A,L1,MCH_001,CNC,AUTO,52.44,20.26,53.47,2.286,5.847,41.721,65.35,0,7.1,0,A
