snapshot_month,account_id,region,segment,plan_tier,contract_type,seats,active_users,monthly_recurring_revenue_usd,product_usage_hours,support_tickets,outage_minutes,nps_score,churn_risk_score,churned
2025-01-01,ACC_00001,LATAM,MidMarket,pro,monthly,17,5,1239.39,76.96,4.0,9.05,52.0,0.2179,0
2025-02-01,ACC_00001,LATAM,MidMarket,pro,monthly,14,13,1109.31,345.28,1.0,15.74,22.2,0.2656,0
2025-03-01,ACC_00001,LATAM,MidMarket,pro,monthly,12,5,981.38,59.52,1.0,21.94,30.4,0.3439,0
2025-04-01,ACC_00001,LATAM,MidMarket,pro,monthly,15,14,1402.98,83.66,,12.33,28.9,0.3087,0
2025-05-01,ACC_00001,LATAM,MidMarket,pro,monthly,18,13,1474.47,276.89,2.0,16.41,34.8,0.278,0
2025-06-01,ACC_00001,LATAM,MidMarket,pro,monthly,16,9,1388.59,132.52,2.0,14.13,55.9,0.2269,0
2025-01-01,ACC_00002,NorthAmerica,MidMarket,growth,annual,33,20,1238.42,280.92,0.0,5.92,27.5,0.01,0
2025-02-01,ACC_00002,NorthAmerica,MidMarket,growth,annual,28,15,1299.02,,0.0,12.54,45.1,0.01,0
2025-03-01,ACC_00002,NorthAmerica,MidMarket,growth,annual,30,20,1139.93,356.67,0.0,26.84,40.8,0.0638,0
2025-04-01,ACC_00002,NorthAmerica,MidMarket,growth,annual,32,24,1298.75,477.39,4.0,30.4,63.7,0.1726,0
2025-05-01,ACC_00002,NorthAmerica,MidMarket,growth,annual,35,12,1333.85,168.94,0.0,12.2,,0.0567,0
2025-06-01,ACC_00002,NorthAmerica,MidMarket,growth,annual,27,20,1254.57,154.63,0.0,3.14,44.3,0.0904,0
2025-01-01,ACC_00003,unknown,MidMarket,starter,annual,32,21,546.52,312.04,0.0,2.75,,0.0434,0
2025-02-01,ACC_00003,NorthAmerica,MidMarket,starter,annual,31,17,541.55,103.92,,29.29,52.0,0.2565,1
2025-03-01,ACC_00003,NorthAmerica,MidMarket,starter,annual,26,11,437.29,167.18,1.0,3.99,30.0,0.1828,0
2025-04-01,ACC_00003,NorthAmerica,MidMarket,starter,annual,33,18,581.96,198.52,1.0,2.88,44.7,0.1364,0
2025-05-01,ACC_00003,NorthAmerica,MidMarket,starter,annual,30,13,505.52,172.46,1.0,13.36,44.5,0.1425,0
2025-06-01,ACC_00003,NorthAmerica,MidMarket,starter,annual,31,12,466.05,66.48,0.0,8.32,17.7,0.1718,0
2025-01-01,ACC_00004,EMEA,MidMarket,starter,monthly,28,11,510.44,196.53,0.0,7.8,,0.4059,0
2025-02-01,ACC_00004,EMEA,MidMarket,starter,monthly,28,17,493.51,298.18,2.0,6.44,39.2,0.4149,0
2025-03-01,ACC_00004,EMEA,MidMarket,starter,monthly,24,16,414.0,226.19,,8.27,40.3,0.4622,0
2025-04-01,ACC_00004,EMEA,MidMarket,starter,monthly,27,17,519.48,420.77,1.0,22.63,,0.2733,1
2025-05-01,ACC_00004,EMEA,MidMarket,starter,monthly,24,16,447.15,,,5.7,28.9,0.3436,1
2025-06-01,ACC_00004,EMEA,MidMarket,starter,monthly,28,21,534.41,383.45,4.0,15.62,35.3,0.4648,0
2025-01-01,ACC_00005,NorthAmerica,Enterprise,growth,annual,50,29,2210.71,,1.0,28.03,35.0,0.0807,0
2025-02-01,ACC_00005,NorthAmerica,Enterprise,growth,annual,44,26,1834.05,309.47,0.0,4.68,36.9,0.07,0
2025-03-01,ACC_00005,unknown,Enterprise,growth,annual,47,31,2012.36,454.92,1.0,55.08,50.6,0.1352,0
2025-04-01,ACC_00005,NorthAmerica,Enterprise,growth,annual,47,33,1913.91,302.97,,19.06,49.5,0.1723,0
2025-05-01,ACC_00005,NorthAmerica,Enterprise,growth,annual,44,24,1854.4,413.53,1.0,12.77,44.3,0.0547,0
2025-06-01,ACC_00005,NorthAmerica,Enterprise,growth,annual,47,20,1914.74,163.53,2.0,25.01,25.6,0.0557,0
2025-01-01,ACC_00006,EMEA,SMB,growth,monthly,12,7,519.85,,3.0,29.12,12.1,0.3172,0
2025-02-01,ACC_00006,EMEA,SMB,growth,monthly,10,6,368.67,2.43,0.0,3.98,,0.222,0
2025-03-01,ACC_00006,EMEA,SMB,growth,monthly,11,10,403.69,119.15,2.0,23.76,25.2,0.2471,0
2025-04-01,ACC_00006,EMEA,SMB,growth,monthly,10,7,449.32,,0.0,1.15,31.3,0.3131,0
2025-05-01,ACC_00006,EMEA,SMB,growth,monthly,9,7,370.46,,2.0,6.9,16.2,0.2332,0
2025-06-01,ACC_00006,EMEA,SMB,growth,monthly,10,7,389.27,141.93,3.0,12.26,13.0,0.406,0
2025-01-01,ACC_00007,EMEA,MidMarket,growth,monthly,23,15,1032.5,217.95,2.0,17.13,13.3,0.314,1
2025-02-01,ACC_00007,EMEA,MidMarket,growth,monthly,20,10,721.14,125.38,2.0,22.42,24.2,0.3101,1
2025-03-01,ACC_00007,EMEA,MidMarket,growth,monthly,20,12,795.37,,0.0,17.91,41.8,0.261,0
2025-04-01,ACC_00007,EMEA,MidMarket,growth,monthly,24,14,1058.7,205.92,1.0,1.33,,0.1908,0
2025-05-01,ACC_00007,EMEA,MidMarket,growth,monthly,25,15,880.88,358.98,3.0,9.51,34.0,0.2873,0
2025-06-01,ACC_00007,EMEA,MidMarket,growth,monthly,24,21,1057.01,257.28,1.0,14.04,27.5,0.302,0
2025-01-01,ACC_00008,NorthAmerica,MidMarket,growth,annual,36,21,1496.64,152.78,1.0,30.63,58.9,0.0814,0
2025-02-01,ACC_00008,NorthAmerica,MidMarket,growth,annual,33,28,1261.13,630.49,1.0,10.34,22.9,0.0414,0
2025-03-01,ACC_00008,NorthAmerica,MidMarket,growth,annual,31,17,1336.66,370.73,2.0,9.3,42.8,0.0876,0
2025-04-01,ACC_00008,NorthAmerica,MidMarket,growth,annual,32,20,1214.61,209.1,1.0,7.11,45.8,0.1044,0
2025-05-01,ACC_00008,NorthAmerica,MidMarket,growth,annual,35,25,1326.77,481.27,2.0,19.14,47.8,0.0645,0
2025-06-01,ACC_00008,NorthAmerica,MidMarket,growth,annual,31,15,1304.8,235.5,1.0,5.1,39.8,0.0986,0
2025-01-01,ACC_00009,EMEA,SMB,pro,annual,9,7,830.01,99.54,0.0,27.3,46.1,0.1132,0
2025-02-01,ACC_00009,EMEA,SMB,pro,annual,10,5,812.82,69.02,1.0,11.72,39.6,0.01,0
2025-03-01,ACC_00009,EMEA,SMB,pro,annual,8,6,671.45,52.68,0.0,2.23,52.8,0.01,0
2025-04-01,ACC_00009,EMEA,SMB,pro,annual,11,3,934.74,46.61,,34.44,44.0,0.0685,0
2025-05-01,ACC_00009,EMEA,SMB,pro,annual,13,12,1004.29,204.24,1.0,23.36,,0.0783,0
2025-06-01,ACC_00009,EMEA,SMB,pro,annual,9,5,743.5,96.04,4.0,17.75,,0.0894,0
2025-01-01,ACC_00010,NorthAmerica,MidMarket,growth,monthly,34,23,1613.37,460.42,4.0,11.3,28.7,0.3912,1
2025-02-01,ACC_00010,NorthAmerica,MidMarket,growth,monthly,31,23,1317.37,,2.0,6.76,,0.3255,0
2025-03-01,ACC_00010,NorthAmerica,MidMarket,growth,monthly,34,19,1268.54,357.51,2.0,10.81,,0.3445,0
2025-04-01,ACC_00010,NorthAmerica,MidMarket,growth,monthly,34,24,1423.49,342.52,0.0,10.1,49.6,0.1781,0
2025-05-01,ACC_00010,NorthAmerica,MidMarket,growth,monthly,32,18,1280.59,265.69,0.0,29.42,,0.3801,0
2025-06-01,ACC_00010,NorthAmerica,MidMarket,growth,monthly,32,20,1240.26,325.8,1.0,14.06,42.5,0.2511,0
2025-01-01,ACC_00011,NorthAmerica,SMB,pro,annual,7,3,613.15,47.85,,15.57,63.9,0.0617,0
2025-02-01,ACC_00011,NorthAmerica,SMB,pro,annual,10,7,904.61,70.47,1.0,12.45,66.1,0.01,0
2025-03-01,ACC_00011,NorthAmerica,SMB,pro,annual,12,9,944.83,,1.0,2.59,,0.0813,0
2025-04-01,ACC_00011,NorthAmerica,SMB,pro,annual,10,8,803.77,48.66,0.0,29.02,47.9,0.0309,0
2025-05-01,ACC_00011,NorthAmerica,SMB,error,annual,11,9,990.69,179.61,0.0,5.6,57.5,0.0445,0
2025-06-01,ACC_00011,NorthAmerica,SMB,pro,annual,8,6,724.15,92.45,0.0,25.32,61.0,0.01,0
2025-01-01,ACC_00012,NorthAmerica,Enterprise,starter,annual,69,32,1197.12,,3.0,17.45,40.6,0.1733,0
2025-02-01,ACC_00012,NorthAmerica,Enterprise,starter,annual,77,56,1175.45,623.86,3.0,4.28,32.3,0.2024,0
2025-03-01,ACC_00012,unknown,Enterprise,starter,annual,78,36,1425.44,780.31,4.0,35.77,,0.224,0
2025-04-01,ACC_00012,NorthAmerica,Enterprise,starter,annual,74,61,1312.99,1078.52,3.0,18.98,,0.216,0
2025-05-01,ACC_00012,NorthAmerica,Enterprise,error,annual,86,65,1519.52,418.4,2.0,3.24,61.0,0.0862,0
2025-06-01,ACC_00012,NorthAmerica,Enterprise,starter,annual,78,49,1106.63,409.53,4.0,12.95,,0.2153,0
